originaltimestamp,uuid,yourname,originalmeetingdate,meetingcode,issueid,meetingname,structure,structurecounty,structuredistrict,status,issuedistrict,community,category,raisedby,disputant,duration,actionplancommittee,actionplandescription,actionplannotes,ongoing_resolved,resolutiondate,report_ongoing,googledocs,resolution,updatetype,resolutiontype,updatedate,updatedescription,mediationdate,mediationoutcome,issuedescription,issuename,issuenotes,statusnotes,referraldate,referredto,referralnote
42688,2015-07-DS-BY-00016,,42186,2015-07-DS-BY,00016,"July, 2015 Nimba DSC",DSC,Nimba,Buu-Yao,Ongoing,Buu-Yao,Twah River District,General Land,,,,,,,Ongoing,42618,Resolved,,,,,,,,,,,,,,,
42688,2015-07-CF-KB-00017,,42186,2015-07-CF-KB,00017,"July, 2015 Nimba CF",CF,Nimba,Kparblee,Ongoing,Kparblee,New Yourpea and Glaarlay,General Land,,,,,,,Ongoing,42618,Resolved,,,,,,,,,,,,,,,
42688,2015-07-CF-KB-00018,,42186,2015-07-CF-KB,00018,"July, 2015 Nimba CF",CF,Nimba,Kparblee,Ongoing,Kparblee,Gayeblee and Glaarlay,General Land,,,,,,,Ongoing,42618,Resolved,,,,,,,,,,,,,,,
42688,2015-07-CF-KB-00019,,42186,2015-07-CF-KB,00019,"July, 2015 Nimba CF",CF,Nimba,Kparblee,Ongoing,Kparblee,Old Yorpea Town,General Land,,,,,,,Ongoing,42618,Resolved,,,,,,,,,,,,,,,
42688,2015-07-CF-KB-00020,,42186,2015-07-CF-KB,00020,"July, 2015 Nimba CF",CF,Nimba,Kparblee,Ongoing,Kparblee,Manyoeblee,General Land,,,,,,,Ongoing,42618,Resolved,,,,,,,,,,,,,,,
42688,2015-07-CF-KB-00021,,42186,2015-07-CF-KB,00021,"July, 2015 Nimba CF",CF,Nimba,Kparblee,Ongoing,Kparblee,Kaylay Town,General Land,,,,,,,Ongoing,42618,Resolved,,,,,,,,,,,,,,,
42688,2015-07-DS-GB-00022,,42186,2015-07-DS-GB,00022,"July, 2015 Nimba DSC",DSC,Nimba,Garr-Bain,Ongoing,Garr-Bain,Ganta,General Land,,,,,,,Ongoing,42618,Resolved,,,,,,,,,,,,,,,
42688,2015-07-DS-GB-00023,,42186,2015-07-DS-GB,00023,"July, 2015 Nimba DSC",DSC,Nimba,Garr-Bain,Resolved,Garr-Bain,Ganta,General Land,,,,,,,Ongoing,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-07-CF-GB-00024,,42186,2015-07-CF-GB,00024,"July, 2015 Nimba CF",CF,Nimba,Garr-Bain,Ongoing,Garr-Bain,Bain-Garr,General Land,,,,,,,Ongoing,42618,Resolved,,,,,,,,,,,,,,,
42688,2015-07-CF-GB-00025,,42186,2015-07-CF-GB,00025,"July, 2015 Nimba CF",CF,Nimba,Garr-Bain,Ongoing,Garr-Bain,Ganta,General Land,,,,,,,Ongoing,42618,Resolved,,,,,,,,,,,,,,,
42688,2015-07-DS-GB-00026,,42186,2015-07-DS-GB,00026,"July, 2015 Nimba DSC",DSC,Nimba,Garr-Bain,Ongoing,Garr-Bain,Bain-Yelekoryee,General Land,,,,,,,Ongoing,42618,Resolved,,,,,,,,,,,,,,,
42688,2015-07-DS-GB-00027,,42186,2015-07-DS-GB,00027,"July, 2015 Nimba DSC",DSC,Nimba,Garr-Bain,Resolved,Garr-Bain,Ganta,General Land,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-07-CF-GB-00028,,42186,2015-07-CF-GB,00028,"July, 2015 Nimba CF",CF,Nimba,Garr-Bain,Resolved,Garr-Bain,Ganta,General Land,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-07-CF-GB-00029,,42186,2015-07-CF-GB,00029,"July, 2015 Nimba CF",CF,Nimba,Garr-Bain,Resolved,Garr-Bain,Ganta,General Land,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-07-CS-NI-00030,,42186,2015-07-CS-NI,00030,"July, 2015 Nimba CSC",CSC,Nimba,NA,Resolved,NA,NA,Security Services,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-07-CF-GB-00031,,42188,2015-07-CF-GB,00031,"July, 2015 Nimba CF",CF,Nimba,Garr-Bain,Resolved,Garr-Bain,Lao Morgbain/Yehbo,General Land,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-07-CF-GB-00032,,42188,2015-07-CF-GB,00032,"July, 2015 Nimba CF",CF,Nimba,Garr-Bain,Resolved,Garr-Bain,Ganta,Security Services,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-07-CF-GL-00033,,42186,2015-07-CF-GL,00033,"July, 2015 Nimba CF",CF,Nimba,Gbehlay-Geh,Resolved,Gbehlay-Geh,Gborplay Chiefdom,General Land,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-07-CF-GL-00034,,42186,2015-07-CF-GL,00034,"July, 2015 Nimba CF",CF,Nimba,Gbehlay-Geh,Resolved,Gbehlay-Geh,Gborplay Chiefdom,General Land,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-06-CF-BY-00035,,42156,2015-06-CF-BY,00035,"June, 2015 Nimba CF",CF,Nimba,Buu-Yao,Resolved,Buu-Yao,Bu-Yao,Government Corruption,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-07-CF-KB-00036,,42186,2015-07-CF-KB,00036,"July, 2015 Nimba CF",CF,Nimba,Kparblee,Ongoing,Kparblee,Kpaiblee Town,General Land,,,,,,,Ongoing,42618,Resolved,,,,,,,,,,,,,,,
42688,2015-07-CF-KB-00037,,42186,2015-07-CF-KB,00037,"July, 2015 Nimba CF",CF,Nimba,Kparblee,Ongoing,Kparblee,Kpaiblee Town,Security Services,,,,,,,Ongoing,42618,Resolved,,,,,,,,,,,,,,,
42688,2015-09-CF-BY-00038,,42248,2015-09-CF-BY,00038,"September, 2015 Nimba CF",CF,Nimba,Buu-Yao,Resolved,Buu-Yao,Karffeglay and Zeilay,Infrastructure and Government Services,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2013-02-CS-LO-00039,,41306,2013-02-CS-LO,00039,"February, 2013 Lofa CSC",CSC,Lofa,Quardu Boundi,Resolved,Quardu Boundi,Samodu,General Land,,,,,,,,42599,Resolved,,,,,,,,,,,,,,,
42688,2013-03-CF-FO-00040,,41341,2013-03-CF-FO,00040,"March, 2013 Lofa CF",CF,Lofa,Foya,Resolved,Foya,Chakpormah,General Land,,,,,,,,42599,Resolved,,,,,,,,,,,,,,,
42688,2014-01-CS-LO-00041,,41662,2014-01-CS-LO,00041,"January, 2014 Lofa CSC",CSC,Lofa,Foya,Resolved,Kolahun,Nyandohun,General Land,,,,,,,,42599,Resolved,,,,,,,,,,,,,,,
42688,2014-02-CF-FO-00042,,41671,2014-02-CF-FO,00042,"February, 2014 Lofa CF",CF,Lofa,Foya,Resolved,Foya,Foya,General Land,,,,,,,,42599,Resolved,,,,,,,,,,,,,,,
42688,2014-04-CF-VJ-00043,,41739,2014-04-CF-VJ,00043,"April, 2014 Lofa CF",CF,Lofa,Voinjama,Resolved,Voinjama,Bondi,General Land,,,,,,,,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-02-CS-LO-00044,,42036,2015-02-CS-LO,00044,"February, 2015 Lofa CSC",CSC,Lofa,Voinjama,Resolved,Voinjama,Voinjama City,General Land,,,,,,,,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-03-CS-LO-00045,,42064,2015-03-CS-LO,00045,"March, 2015 Lofa CSC",CSC,Lofa,Foya,Resolved,Foya,Foya City,General Land,,,,,,,,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-03-CS-LO-00046,,42066,2015-03-CS-LO,00046,"March, 2015 Lofa CSC",CSC,Lofa,Zorzor,Resolved,Zorzor,Zorzor City,Violence,,,,,,,,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-04-CF-VJ-00047,,42095,2015-04-CF-VJ,00047,"April, 2015 Lofa CF",CF,Lofa,Voinjama,Resolved,Voinjama,Betijama,General Land,,,,,,,,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-04-CS-LO-00048,,42095,2015-04-CS-LO,00048,"April, 2015 Lofa CSC",CSC,Lofa,Voinjama,Resolved,Voinjama,Voinjama,Security Services,,,,,,,,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-04-CS-LO-00049,,42095,2015-04-CS-LO,00049,"April, 2015 Lofa CSC",CSC,Lofa,Voinjama,Resolved,Voinjama,Voinjama,Security Services,,,,,,,,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-04-CF-FO-00050,,42095,2015-04-CF-FO,00050,"April, 2015 Lofa CF",CF,Lofa,Foya,Resolved,Foya,Kayebendu,General Land,,,,,,,,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-05-CF-VJ-00051,,42125,2015-05-CF-VJ,00051,"May, 2015 Lofa CF",CF,Lofa,Voinjama,Resolved,Voinjama,Voinjama City,General Land,,,,,,,,42599,Resolved,,,,,,,,,,,,,,,
42688,2014-03-CF-KB-00052,,41699,2014-03-CF-KB,00052,"March, 2014 Nimba CF",CF,Nimba,Kparblee,Resolved,Kparblee,Dubuzon,Security Services,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2014-04-CS-NI-00053,,41745,2014-04-CS-NI,00053,"April, 2014 Nimba CSC",CSC,Nimba,Yarmein,Resolved,Yarmein,Bonlah,General Land,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2014-04-CF-KB-00054,,41759,2014-04-CF-KB,00054,"April, 2014 Nimba CF",CF,Nimba,Kparblee,Resolved,Kparblee,Dubuzon,Violence,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2014-05-CS-NI-00055,,41760,2014-05-CS-NI,00055,"May, 2014 Nimba CSC",CSC,Nimba,Garr-Bain,Resolved,Garr-Bain,St. John River Bank,Security Services,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2014-07-CF-FALSE-00056,,41823,2014-07-CF-FALSE,00056,"July, 2014 Nimba CF",CF,Nimba,Sanniquellie Mahn,Resolved,Sanniquellie Mahn,Zolowee,Violence,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2014-07-CF-GB-00057,,41831,2014-07-CF-GB,00057,"July, 2014 Nimba CF",CF,Nimba,Garr-Bain,Resolved,Garr-Bain,Ganta,General Land,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2014-08-CS-NI-00058,,41852,2014-08-CS-NI,00058,"August, 2014 Nimba CSC",CSC,Nimba,Wee-Gbehyi-Mahn,Resolved,Wee-Gbehyi-Mahn,Loyee,General Land,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2014-10-CF-KB-00059,,41933,2014-10-CF-KB,00059,"October, 2014 Nimba CF",CF,Nimba,Kparblee,Resolved,Kparblee,Kpaiblee,General Land,,,,,,,Resolved,,Ongoing,,,,,,,,,,,,,,,
42688,2015-02-CF-GB-00060,,42058,2015-02-CF-GB,00060,"February, 2015 Nimba CF",CF,Nimba,Garr-Bain,Resolved,Garr-Bain,Ganta,Other,,,,,,,Resolved,,Ongoing,,,,,,,,,,,,,,,
42688,2015-04-DS-KB-00061,,42095,2015-04-DS-KB,00061,"April, 2015 Nimba DSC",DSC,Nimba,Kparblee,Resolved,Kparblee,Kpaiblee,International Dispute,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-04-CS-NI-00062,,42095,2015-04-CS-NI,00062,"April, 2015 Nimba CSC",CSC,Nimba,Kparblee,Resolved,Kparblee,"Dewoblee, Kpaiblee, Zodru, Gayea",Other,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-05-CS-NI-00063,,42125,2015-05-CS-NI,00063,"May, 2015 Nimba CSC",CSC,Nimba,Buu-Yao,Resolved,Buu-Yao,Dinplay,Public Health and Saftey,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-06-CS-NI-00064,,42156,2015-06-CS-NI,00064,"June, 2015 Nimba CSC",CSC,Nimba,Gbehlay-Geh,Resolved,Gbehlay-Geh,Kenlay Town,Violence,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-06-CS-NI-00065,,42156,2015-06-CS-NI,00065,"June, 2015 Nimba CSC",CSC,Nimba,Gbehlay-Geh,Resolved,Gbehlay-Geh,Beo-Blemieplay,Infrastructure and Government Services,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-06-CF-GB-00066,,42156,2015-06-CF-GB,00066,"June, 2015 Nimba CF",CF,Nimba,Garr-Bain,Resolved,Garr-Bain,Ganta,Security Services,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-06-CS-NI-00067,,42168,2015-06-CS-NI,00067,"June, 2015 Nimba CSC",CSC,Nimba,Garr-Bain,Resolved,Garr-Bain,Saclepea Rd check point,Security Services,,,,,,,Ongoing,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-07-DS-GB-00068,,42186,2015-07-DS-GB,00068,"July, 2015 Nimba DSC",DSC,Nimba,Garr-Bain,Resolved,Garr-Bain,Gbahn Town,General Land,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-04-DS-GB-00069,,42095,2015-04-DS-GB,00069,"April, 2015 Nimba DSC",DSC,Nimba,Garr-Bain,Resolved,Garr-Bain,"Dingama/Whynor, Kulapa/Tondin",General Land,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-04-DS-GL-00070,,42095,2015-04-DS-GL,00070,"April, 2015 Nimba DSC",DSC,Nimba,Gbehlay-Geh,Resolved,Gbehlay-Geh,"Slorh, Gborplay",General Land,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-04-DS-GL-00071,,42095,2015-04-DS-GL,00071,"April, 2015 Nimba DSC",DSC,Nimba,Gbehlay-Geh,Resolved,Gbehlay-Geh,"Zortrapa, Gborbayee",General Land,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-05-DS-GB-00072,,42125,2015-05-DS-GB,00072,"May, 2015 Nimba DSC",DSC,Nimba,Garr-Bain,Resolved,Garr-Bain,Ganta,International Dispute,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-04-DS-GL-00073,,42095,2015-04-DS-GL,00073,"April, 2015 Nimba DSC",DSC,Nimba,Gbehlay-Geh,Resolved,Gbehlay-Geh,Sergeant Town,General Land,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-07-CF-GL-00074,,42186,2015-07-CF-GL,00074,"July, 2015 Nimba CF",CF,Nimba,Gbehlay-Geh,Resolved,Gbehlay-Geh,Karnplay,General Land,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-08-CF-GL-00075,,42217,2015-08-CF-GL,00075,"August, 2015 Nimba CF",CF,Nimba,Gbehlay-Geh,Resolved,Gbehlay-Geh,NA,Other,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-08-CF-KB-00076,,42217,2015-08-CF-KB,00076,"August, 2015 Nimba CF",CF,Nimba,Kparblee,Resolved,Kparblee,NA,International Dispute,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-09-CF-GB-00077,,42248,2015-09-CF-GB,00077,"September, 2015 Nimba CF",CF,Nimba,Garr-Bain,Resolved,Garr-Bain,NA,Other,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-09-CF-GB-00078,,42248,2015-09-CF-GB,00078,"September, 2015 Nimba CF",CF,Nimba,Garr-Bain,Resolved,Garr-Bain,NA,General Land,,,,,,,Ongoing,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-09-CF-BY-00079,,42248,2015-09-CF-BY,00079,"September, 2015 Nimba CF",CF,Nimba,Buu-Yao,Resolved,Buu-Yao,Bu-yao district,General Land,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-09-CF-BY-00080,,42248,2015-09-CF-BY,00080,"September, 2015 Nimba CF",CF,Nimba,Buu-Yao,Ongoing,Buu-Yao,Buelay town,General Land,,,,,,,,42618,Resolved,,,,,,,,,,,,,,,
42688,2015-09-CF-KB-00081,,42248,2015-09-CF-KB,00081,"September, 2015 Nimba CF",CF,Nimba,Kparblee,Resolved,Kparblee,NA,Government Corruption,,,,,,,,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-09-CF-KB-00082,,42248,2015-09-CF-KB,00082,"September, 2015 Nimba CF",CF,Nimba,Kparblee,Resolved,Kparblee,dewoblee,Other,,,,,,,,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-07-CF-GL-00083,,42186,2015-07-CF-GL,00083,"July, 2015 Nimba CF",CF,Nimba,Gbehlay-Geh,Resolved,Gbehlay-Geh,Beo-Tartuo Town,General Land,,,,,,,,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-07-CF-KB-00084,,42186,2015-07-CF-KB,00084,"July, 2015 Nimba CF",CF,Nimba,Kparblee,Resolved,Kparblee,Kpaiblee Town,Infrastructure and Government Services,,,,,,,,42599,Resolved,,,,,,,,,,,,,,,
42688,2016-09-CF-GB-00085,,42639,2016-09-CF-GB,00085,"September, 2016 Nimba CF",CF,Nimba,Garr-Bain,Resolved,Garr-Bain,Ganta,Violence,,,,,,,,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-02-CS-NI-00086,,42040,2015-02-CS-NI,00086,"February, 2015 Nimba CSC",CSC,Nimba,Buu-Yao,Resolved,Buu-Yao,Buutuo,Violence,,,,,,,,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-07-CS-NI-00087,,42186,2015-07-CS-NI,00087,"July, 2015 Nimba CSC",CSC,Nimba,Garr-Bain,Resolved,Garr-Bain,Sanniquellie,Security Services,,,,,,,,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-07-CS-NI-00088,,42186,2015-07-CS-NI,00088,"July, 2015 Nimba CSC",CSC,Nimba,Yarmein,Resolved,Yarmein,Gbonnie,General Land,,,,,,,,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-04-CS-NI-00089,,42095,2015-04-CS-NI,00089,"April, 2015 Nimba CSC",CSC,Nimba,Leewehpea-Mahn,Resolved,Leewehpea-Mahn,Cocopa,Other,,,,,,,,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-04-DS-GL-00090,,42095,2015-04-DS-GL,00090,"April, 2015 Nimba DSC",DSC,Nimba,Gbehlay-Geh,Resolved,Gbehlay-Geh,Mabor,General Land,,,,,,,,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-06-CS-LO-00091,,42156,2015-06-CS-LO,00091,"June, 2015 Lofa CSC",CSC,Lofa,Foya,Ongoing,Kolahun,Vahun,General Land,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-06-CS-LO-00092,,42156,2015-06-CS-LO,00092,"June, 2015 Lofa CSC",CSC,Lofa,Voinjama,Ongoing,Voinjama,Kpassagizai,General Land,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-06-DS-FO-00093,,42156,2015-06-DS-FO,00093,"June, 2015 Lofa DSC",DSC,Lofa,Foya,Ongoing,Foya,NA,General Land,,,,,,,Ongoing,42618,Resolved,,,,,,,,,,,,,,,
42688,2015-06-CF-FO-00094,,42156,2015-06-CF-FO,00094,"June, 2015 Lofa CF",CF,Lofa,Foya,Resolved,Foya,Safadu,Infrastructure and Government Services,,,,,,,,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-06-CF-FO-00095,,42156,2015-06-CF-FO,00095,"June, 2015 Lofa CF",CF,Lofa,Foya,Resolved,Foya,Tenassadou/Mendekoma,International Dispute,,,,,,,,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-06-CF-FO-00096,,42156,2015-06-CF-FO,00096,"June, 2015 Lofa CF",CF,Lofa,Foya,Resolved,Foya,Lengbema-Tengia,General Land,,,,,,,,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-06-CF-VJ-00097,,42156,2015-06-CF-VJ,00097,"June, 2015 Lofa CF",CF,Lofa,Voinjama,Resolved,Voinjama,Foya,Violence,,,,,,,,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-06-CF-VJ-00098,,42156,2015-06-CF-VJ,00098,"June, 2015 Lofa CF",CF,Lofa,Voinjama,Resolved,Voinjama,Molorvemai/Zearworzu,General Land,,,,,,,,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-06-CF-FO-00099,,42156,2015-06-CF-FO,00099,"June, 2015 Lofa CF",CF,Lofa,Foya,Resolved,Foya,Foya City,Government Corruption,,,,,,,,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-06-CS-LO-00100,,42156,2015-06-CS-LO,00100,"June, 2015 Lofa CSC",CSC,Lofa,Foya,Resolved,Foya,Zorzor City and surrounding,Traditional Community,,,,,,,,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-06-CS-LO-00101,,42167,2015-06-CS-LO,00101,"June, 2015 Lofa CSC",CSC,Lofa,Voinjama,Resolved,Voinjama,Sorlomba,International Dispute,,,,,,,,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-07-CS-LO-00102,,42186,2015-07-CS-LO,00102,"July, 2015 Lofa CSC",CSC,Lofa,Voinjama,Ongoing,Voinjama,NA,Security Services,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-07-CF-VJ-00103,,42186,2015-07-CF-VJ,00103,"July, 2015 Lofa CF",CF,Lofa,Voinjama,Ongoing,Voinjama,Goyala Town,General Land,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-07-CS-LO-00104,,42186,2015-07-CS-LO,00104,"July, 2015 Lofa CSC",CSC,Lofa,Voinjama,Ongoing,Voinjama,Selega,Government Corruption,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-07-CS-LO-00105,,42186,2015-07-CS-LO,00105,"July, 2015 Lofa CSC",CSC,Lofa,Foya,Ongoing,Kolahun,Tahamba/Vulukaho,General Land,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-07-CF-VJ-00106,,42186,2015-07-CF-VJ,00106,"July, 2015 Lofa CF",CF,Lofa,Voinjama,Ongoing,Voinjama,Voinjama District,Public Health and Saftey,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-07-CF-FO-00107,,42186,2015-07-CF-FO,00107,"July, 2015 Lofa CF",CF,Lofa,Foya,Ongoing,Foya,Foya City,Security Services,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-07-CS-LO-00108,,42186,2015-07-CS-LO,00108,"July, 2015 Lofa CSC",CSC,Lofa,Voinjama,Ongoing,Voinjama,NA,Violence,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-07-CS-LO-00109,,42186,2015-07-CS-LO,00109,"July, 2015 Lofa CSC",CSC,Lofa,Voinjama,Ongoing,Voinjama,NA,General Land,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
